name,artists,danceability,energy,loudness,speechiness,tempo,duration_ms,duration_ms
him & i (with halsey),g-eazy,0.589,0.731,-6.343,0.0868,87.908,268867,4.48
candy paint,post malone,0.67,0.654,-5.944,0.153,180.024,227533,3.79
congratulations,post malone,0.63,0.804,-4.183,0.0363,123.146,220293,3.67
"1, 2, 3 (feat. jason derulo & de la ghetto)",sofia reyes,0.792,0.895,-3.112,0.0589,94.968,201526,3.36
criminal,natti natasha,0.814,0.813,-3.023,0.0561,79.997,232550,3.88
plug walk,rich the kid,0.876,0.519,-6.531,0.143,94.981,175230,2.92
lovely (with khalid),billie eilish,0.351,0.296,-10.109,0.0333,115.284,200186,3.34
stir fry,migos,0.815,0.816,-5.474,0.269,181.967,190288,3.17
humble.,kendrick lamar,0.908,0.621,-6.638,0.102,150.011,177000,2.95
vaina loca,ozuna,0.754,0.805,-4.249,0.0752,93.983,176133,2.94
perfect duet (ed sheeran & beyonc?),ed sheeran,0.587,0.299,-7.365,0.0263,94.992,259550,4.33
coraz?n (feat. nego do borel),maluma,0.722,0.738,-6.073,0.247,198.075,184720,3.08
young dumb & broke,khalid,0.798,0.539,-6.351,0.0421,136.949,202547,3.38
s?guelo bailando,ozuna,0.855,0.664,-7.11,0.0607,98.015,226800,3.78
downtown,anitta,0.775,0.679,-4.985,0.135,166.008,193456,3.22
bella,wolfine,0.909,0.493,-6.688,0.0735,94.016,197120,3.29
promises (with sam smith),calvin harris,0.781,0.768,-5.991,0.0394,123.07,213309,3.56
yes indeed,lil baby,0.964,0.346,-9.309,0.53,119.958,142273,2.37
i like me better,lauv,0.752,0.505,-7.621,0.253,91.97,197437,3.29
this is me,keala settle,0.284,0.704,-7.276,0.186,191.702,234707,3.91
everybody dies in their nightmares,xxxtentacion,0.734,0.57,-7.066,0.133,129.953,95467,1.59
rewrite the stars,zac efron,0.684,0.619,-7.005,0.0386,125.046,217440,3.62
i miss you (feat. julia michaels),clean bandit,0.638,0.658,-6.318,0.0456,105.076,205748,3.43
no brainer,dj khaled,0.552,0.76,-4.706,0.342,135.702,260000,4.33
dusk till dawn - radio edit,zayn,0.258,0.437,-6.593,0.039,180.043,239000,3.98
be alright,dean lewis,0.553,0.586,-6.319,0.0362,126.684,196373,3.27
